Player Name,Position,Projected Draft Pick,Overall Fit Score,2-Way Impact Score,Offensive Threat Index (OTI),Defensive Threat Index (DTI),Help Defense IQ (1–5),Secondary Playmaking,3PT %,AST/TO Ratio,DREB %,Usage Rate,Weighted 3PT % Score,Weighted AST/TO Score,Weighted DREB % Score,Weighted Usage Rate Score,Weighted TS % Score,Weighted Versatility Score,Weighted Defensive Rating Score,Scouting Summary
Paige Bueckers,Guard,1,49.38550215,16.8366,29.364,8.485,5.0,1.0,41.9,3.52,13.1,28.0,16.76,20.0,1.986607143,6.52173913,11.83529718,20.0,8.565400844,
Deasia Merrill,Big,25,40.50790419,8.2835,4.92,10.52583333,3.5,0.5,0.0,0.5,26.6,24.6,0.0,0.1183800623,30.0,4.879227053,25.0,6.5,7.848101266,Low-usage PF/C with rebounding and efficient scoring. Complements Brink well. High-IQ system fit.
Julia Ayrault,Wing,28,39.50270641,18.1944,28.886,11.06666667,4.0,0.5,34.1,1.16,26.1,26.6,8.184,2.647975078,22.48660714,5.845410628,3.734062679,16.8,6.5907173,Versatile 3-and-D forward. Can guard 2–4. Great glue piece next to Plum and Rickea.
Rayah Marshall,Big,12,39.35486301,16.8128,24.642,11.59333333,5.0,0.0,50.0,1.48,24.6,16.6,10.0,0.7289719626,27.32142857,1.014492754,5.557152726,13.0,10.0,Elite shot blocker and rebounder. High defensive ceiling. Natural pairing with Brink.
Alyssa Ustby,Wing,13,38.45125703,15.3741,21.504,11.2875,4.5,0.5,34.0,1.11,25.1,22.2,8.16,2.492211838,21.45982143,3.719806763,1.067311086,18.9,9.978902954,Rebounding wing with elite hustle and IQ. Can play 2–4. Brings Nneka-like energy.
Harmoni Turner,Guard,30,38.01575861,16.768,29.27,8.433333333,4.0,1.0,35.6,1.51,13.9,35.2,14.24,7.476635514,2.165178571,10.0,4.934472751,16.0,8.35443038,Combo guard with smart creation and defense. Low usage. Good complement to Plum/Canada.
Aneesah Morrow,Big,7,37.09872639,13.9724,18.286,11.09666667,4.0,0.5,28.9,0.77,24.4,24.8,5.78,0.2866043614,27.05357143,4.975845411,8.007443057,10.4,7.510548523,
Sedona Prince,Big,24,36.98325246,11.1155,12.79,9.999166667,4.5,0.5,20.0,1.29,21.9,25.3,4.0,0.6105919003,23.70535714,5.217391304,16.93306288,7.8,7.130801688,
Megan McConnell,Guard,26,36.95100125,18.568,31.74,9.786666667,5.0,1.0,32.9,2.0,16.3,24.2,13.16,10.52959502,2.700892857,4.685990338,6.439998547,16.0,6.244725738,
Diamond Johnson,Guard,18,36.81400967,15.9616,26.744,8.773333333,4.0,1.0,35.1,1.76,14.3,26.5,14.04,9.034267913,2.254464286,5.797101449,5.644213035,16.0,8.481012658,
